"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"06.06.2025","295,14","298,83","305,50","291,14","164,75M","3,67%"
"05.06.2025","284,70","322,49","324,55","273,21","292,82M","-14,26%"
"04.06.2025","332,05","345,10","345,60","327,33","98,91M","-3,55%"
"03.06.2025","344,27","346,60","355,40","343,04","99,32M","0,46%"
"02.06.2025","342,69","343,50","348,02","333,33","81,87M","-1,09%"
"30.05.2025","346,46","355,52","363,68","345,29","123,47M","-3,34%"
"29.05.2025","358,43","365,29","367,71","356,00","88,55M","0,43%"
"28.05.2025","356,90","364,84","365,00","355,91","91,40M","-1,65%"
"27.05.2025","362,89","347,35","363,79","347,32","120,15M","6,94%"
"23.05.2025","339,34","337,92","343,18","333,21","84,65M","-0,50%"
"22.05.2025","341,04","331,90","347,27","331,39","97,11M","1,92%"
"21.05.2025","334,62","344,43","347,35","332,20","102,35M","-2,68%"
"20.05.2025","343,82","347,87","354,99","341,63","131,72M","0,51%"
"19.05.2025","342,09","336,30","343,00","333,37","88,87M","-2,25%"
"16.05.2025","349,98","346,24","351,62","342,33","95,90M","2,09%"
"15.05.2025","342,82","340,34","346,14","334,72","97,88M","-1,40%"
"14.05.2025","347,68","342,50","350,00","337,00","137,00M","4,07%"
"13.05.2025","334,07","320,00","337,59","316,80","136,99M","4,93%"
"12.05.2025","318,38","321,99","322,21","311,50","112,83M","6,75%"
"09.05.2025","298,26","290,21","307,04","290,00","132,39M","4,72%"
"08.05.2025","284,82","279,63","289,80","279,41","97,54M","3,11%"
"07.05.2025","276,22","276,88","277,92","271,00","71,88M","0,32%"
"06.05.2025","275,35","273,11","277,73","271,35","76,72M","-1,75%"
"05.05.2025","280,26","284,57","284,85","274,40","94,62M","-2,42%"
"02.05.2025","287,21","284,90","294,78","279,81","114,45M","2,38%"
"01.05.2025","280,52","280,01","290,87","279,81","99,66M","-0,58%"
"30.04.2025","282,16","279,90","284,45","270,78","128,96M","-3,38%"
"29.04.2025","292,03","285,50","293,32","279,47","108,91M","2,15%"
"28.04.2025","285,88","288,98","294,86","272,42","151,73M","0,33%"
"25.04.2025","284,95","261,69","286,85","259,63","167,56M","9,80%"
"24.04.2025","259,51","250,50","259,54","249,20","94,46M","3,50%"
"23.04.2025","250,74","254,86","259,45","244,43","150,38M","5,37%"
"22.04.2025","237,97","230,96","242,79","229,85","120,86M","4,60%"
"21.04.2025","227,50","230,26","232,21","222,79","97,77M","-5,75%"
"17.04.2025","241,37","243,47","244,34","237,68","83,40M","-0,07%"
"16.04.2025","241,55","247,61","251,97","233,89","112,38M","-4,94%"
"15.04.2025","254,11","249,91","258,75","247,54","79,59M","0,70%"
"14.04.2025","252,35","258,36","261,80","245,93","100,14M","0,02%"
"11.04.2025","252,31","251,84","257,74","241,36","128,95M","-0,04%"
"10.04.2025","252,40","260,00","262,49","239,33","181,72M","-7,27%"
"09.04.2025","272,20","224,69","274,69","223,88","219,43M","22,69%"
"08.04.2025","221,86","245,00","250,44","217,80","171,60M","-4,90%"
"07.04.2025","233,29","223,78","252,00","214,25","183,45M","-2,56%"
"04.04.2025","239,43","255,38","261,00","236,00","181,23M","-10,42%"
"03.04.2025","267,28","265,29","276,30","261,51","136,17M","-5,47%"
"02.04.2025","282,76","254,60","284,99","251,27","212,79M","5,33%"
"01.04.2025","268,46","263,80","277,45","259,25","146,49M","3,59%"
"31.03.2025","259,16","249,31","260,56","243,36","134,01M","-1,67%"
"28.03.2025","263,55","275,58","276,10","260,57","123,81M","-3,51%"
"27.03.2025","273,13","272,48","291,85","271,82","162,57M","0,39%"
"26.03.2025","272,06","282,66","284,90","266,51","156,25M","-5,58%"
"25.03.2025","288,14","283,60","288,20","271,28","150,36M","3,50%"
"24.03.2025","278,39","258,08","278,64","256,33","169,08M","11,93%"
"21.03.2025","248,71","234,99","249,52","234,55","132,73M","5,27%"
"20.03.2025","236,26","233,35","238,00","230,05","99,03M","0,17%"
"19.03.2025","235,86","231,61","241,41","229,20","111,99M","4,68%"
"18.03.2025","225,31","228,15","230,10","222,28","111,48M","-5,34%"
"17.03.2025","238,01","245,05","245,40","232,80","111,90M","-4,79%"
"14.03.2025","249,98","247,31","251,58","240,73","100,24M","3,86%"
"13.03.2025","240,68","248,13","248,29","232,60","114,81M","-2,99%"
"12.03.2025","248,09","247,22","251,84","241,10","142,22M","7,59%"
"11.03.2025","230,58","225,30","237,06","217,02","174,90M","3,79%"
"10.03.2025","222,15","252,54","253,37","220,00","189,08M","-15,43%"
"07.03.2025","262,67","259,32","266,25","250,73","102,37M","-0,30%"
"06.03.2025","263,45","272,06","272,65","260,02","98,45M","-5,61%"
"05.03.2025","279,10","272,92","279,55","267,71","94,04M","2,60%"
"04.03.2025","272,04","270,93","284,35","261,84","126,71M","-4,43%"
"03.03.2025","284,65","300,34","303,94","277,30","115,55M","-2,84%"
"28.02.2025","292,98","279,50","293,88","273,60","115,70M","3,91%"
"27.02.2025","281,95","291,16","297,23","280,88","101,75M","-3,04%"
"26.02.2025","290,80","303,71","309,00","288,04","100,12M","-3,96%"
"25.02.2025","302,80","327,02","328,89","297,25","134,23M","-8,39%"
"24.02.2025","330,53","338,14","342,40","324,70","76,05M","-2,15%"
"21.02.2025","337,80","353,44","354,98","334,42","74,06M","-4,68%"
"20.02.2025","354,40","361,51","362,30","348,00","45,97M","-1,71%"
"19.02.2025","360,56","354,00","367,34","353,67","67,09M","1,82%"
"18.02.2025","354,11","355,01","359,10","350,02","51,63M","-0,49%"
"14.02.2025","355,84","360,62","362,00","347,50","68,28M","-0,03%"
"13.02.2025","355,94","345,00","358,69","342,85","89,44M","5,77%"
"12.02.2025","336,51","329,94","346,40","329,12","105,38M","2,44%"
"11.02.2025","328,50","345,80","349,37","325,10","118,54M","-6,34%"
"10.02.2025","350,73","356,21","362,70","350,51","77,51M","-3,01%"
"07.02.2025","361,62","370,19","380,55","360,34","70,30M","-3,39%"
"06.02.2025","374,32","373,03","375,40","363,18","77,92M","-1,02%"
"05.02.2025","378,17","387,51","388,39","375,53","57,61M","-3,58%"
"04.02.2025","392,21","382,63","394,00","381,40","57,07M","2,22%"
"03.02.2025","383,68","386,68","389,17","374,36","93,73M","-5,17%"
"31.01.2025","404,60","401,53","419,99","401,34","83,57M","1,08%"
"30.01.2025","400,28","410,78","412,50","384,41","98,09M","2,87%"
"29.01.2025","389,10","395,21","398,59","384,48","68,03M","-2,26%"
"28.01.2025","398,09","396,91","400,59","386,50","48,91M","0,24%"
"27.01.2025","397,15","394,80","406,69","389,00","58,13M","-2,32%"
"24.01.2025","406,58","414,45","418,88","405,78","56,43M","-1,41%"
"23.01.2025","412,38","416,06","420,73","408,95","50,69M","-0,66%"
"22.01.2025","415,11","416,81","428,00","414,59","60,96M","-2,11%"
"21.01.2025","424,07","432,64","433,20","406,31","87,32M","-0,57%"
"17.01.2025","426,50","421,50","439,74","419,75","94,99M","3,06%"
"16.01.2025","413,82","423,49","424,00","409,13","68,34M","-3,36%"
"15.01.2025","428,22","409,90","429,80","405,66","81,38M","8,04%"
"14.01.2025","396,36","414,34","422,64","394,54","84,57M","-1,72%"
"13.01.2025","403,31","383,21","403,79","380,07","67,58M","2,17%"
"10.01.2025","394,74","391,40","399,28","377,29","62,29M","-0,05%"
"08.01.2025","394,94","392,95","402,50","387,40","73,04M","0,15%"
"07.01.2025","394,36","405,83","414,33","390,00","75,70M","-4,06%"
"06.01.2025","411,05","423,20","426,43","401,70","85,52M","0,15%"
"03.01.2025","410,44","381,48","411,88","379,45","95,42M","8,22%"
"02.01.2025","379,28","390,10","392,73","373,04","109,71M","-6,08%"
"31.12.2024","403,84","423,79","427,93","402,54","76,83M","-3,25%"
"30.12.2024","417,41","419,40","427,00","415,75","64,94M","-3,30%"
"27.12.2024","431,66","449,52","450,00","426,50","82,67M","-4,95%"
"26.12.2024","454,13","465,16","465,33","451,02","76,65M","-1,76%"
"24.12.2024","462,28","435,90","462,78","435,14","59,55M","7,36%"
"23.12.2024","430,60","431,00","434,51","415,41","72,70M","2,27%"
"20.12.2024","421,06","425,51","447,08","417,64","132,22M","-3,46%"
"19.12.2024","436,17","451,88","456,36","420,02","118,57M","-0,90%"
"18.12.2024","440,13","466,49","488,54","427,01","149,34M","-8,28%"
